"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"ADGRG2",84.3159602901225,-1.33785972993233,0.205810821990052,-6.50043431631109,8.00884522945742e-11,3.54808178251031e-08,"protein_coding"
"BGN",10645.7042963388,-0.838629795045021,0.129085196776244,-6.49671547155556,8.20925090179773e-11,3.54808178251031e-08,"protein_coding"
"NMUR2",14.8360090860043,-2.659970424073,0.409883897240705,-6.48957044172664,8.60814520684842e-11,3.60226965392143e-08,"protein_coding"
"INSC",20.8796328967068,-2.01111566744629,0.311570204284194,-6.4547753276558,1.08379569181675e-10,4.30269536412045e-08,"protein_coding"
"HCAR1",70.7314927276782,2.32555272881906,0.360295898221353,6.45456343050101,1.08531313532411e-10,4.30269536412045e-08,"protein_coding"
"ITGA1",5060.06593137071,-0.932983562017218,0.145504566000388,-6.41205693857561,1.4356919197023e-10,5.4071746925788e-08,"protein_coding"
"RGCC",3424.36427239035,-1.13095961366778,0.176333423921573,-6.41375632886698,1.41977077320843e-10,5.4071746925788e-08,"protein_coding"
"PROM2",482.027733509995,2.03107299219973,0.317160032228277,6.40393740008786,1.51420216103852e-10,5.56376964781594e-08,"protein_coding"
"INHBA",502.183500954053,-0.981085358297586,0.15409158892274,-6.36689753903108,1.92889933636014e-10,6.91877821482512e-08,"protein_coding"
"RAB26",17.5314486387455,1.50118819047432,0.235953244700531,6.36222736576314,1.98848792253133e-10,6.96664431463593e-08,"protein_coding"
"CKMT1A",9.67561690754742,2.0301071185865,0.319489227691907,6.35422713076321,2.09477128579407e-10,7.17221123192902e-08,"protein_coding"
"SYDE1",550.574059215162,-0.598691425584943,0.0943011640867386,-6.3487172335886,2.17117687591099e-10,7.26861769679981e-08,"protein_coding"
"NSG1",67.8924293602837,1.33861988005788,0.211095197272423,6.34130902717961,2.27821037897239e-10,7.41528603121041e-08,"protein_coding"
"RASAL1",18.4411852725965,1.42160451186112,0.224380005087195,6.33570050641849,2.36265336540392e-10,7.41528603121041e-08,"protein_coding"
"STXBP6",404.741295347043,-1.69320856746781,0.267223051344766,-6.33631177754671,2.35330353132165e-10,7.41528603121041e-08,"protein_coding"
"PAG1",1241.27921383194,-0.859845663460844,0.135813296548154,-6.33108602261177,2.43441565812892e-10,7.48458609994126e-08,"protein_coding"
"CYP2S1",196.18137158423,0.981172383929329,0.155444386823057,6.31204769745853,2.75367322555053e-10,8.29681742858376e-08,"protein_coding"
"SEPTIN11",3608.86948356473,-0.544416045898184,0.0862977215005242,-6.30857960595028,2.81607878003359e-10,8.31847584729532e-08,"protein_coding"
"PPP1R14C",295.925544667496,1.20720299659515,0.191937058116251,6.28957747108941,3.18331215089998e-10,9.15263317681134e-08,"protein_coding"
"MYH1",11.5875936521554,-2.41568334828755,0.38418582003695,-6.28779934682444,3.21997715480253e-10,9.15263317681134e-08,"protein_coding"
