"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"ROBO1",1048.96972969917,1.43617101490722,0.111712309713965,12.8559781691424,7.96123652568527e-38,3.52753024292496e-35,"protein_coding"
"MYO3B",21.1016354749595,3.99393672924655,0.311230730218365,12.832719720332,1.07522328557637e-37,4.62806822777372e-35,"protein_coding"
"HPSE2",303.695206938327,3.21411001525041,0.252216309522947,12.7434661990326,3.38992320065497e-37,1.41858869494075e-34,"protein_coding"
"KRT5",2100.95455859718,6.68401161073058,0.530209535831023,12.6063587299583,1.94786522363596e-36,7.93097016056102e-34,"protein_coding"
"GREM2",191.357192460997,2.59944093203754,0.20651135618887,12.5873994535204,2.47700063753868e-36,9.8200038432948e-34,"protein_coding"
"KRT15",1595.69166226823,4.96696727755801,0.398067421964739,12.4777035333426,9.87951125963164e-36,3.81627787503463e-33,"protein_coding"
"TWIST1",33.2281748960252,3.49214386790527,0.2803079913292,12.4582387085926,1.26125409611926e-35,4.75019823950918e-33,"protein_coding"
"PLXNA4",573.652604784959,2.39985927457473,0.19369052428521,12.390173878826,2.95402207697051e-35,1.08542298998929e-32,"protein_coding"
"S100A8",3116.29071327882,-3.44149407306353,0.280274871210103,-12.2789961804449,1.17446428534388e-34,4.21269153778705e-32,"protein_coding"
"SLC38A11",51.0882795122457,3.27111612835468,0.26762234979052,12.2228809772993,2.3462009747018e-34,8.21988783346108e-32,"protein_coding"
"FAM83D",319.626952669969,3.01936426119755,0.247179189322908,12.2152850709981,2.575969594903e-34,8.81976862436676e-32,"protein_coding"
"MMP11",223.374522563276,3.89906679174457,0.319343433674805,12.2096350843246,2.76124834708607e-34,9.24404585530038e-32,"protein_coding"
"IL17RA",984.46790269387,-1.02508886339332,0.0841475434842387,-12.1820414589444,3.87460362253312e-34,1.2689326863796e-31,"protein_coding"
"SULF1",1627.94797440953,2.39513172204875,0.196643075024224,12.1800969688543,3.96809799143714e-34,1.27190204768086e-31,"protein_coding"
"TNN",93.2305085829956,4.05580513159143,0.333752502838346,12.152133982815,5.58875295528308e-34,1.75405340148624e-31,"protein_coding"
