"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"CLSPN",49.2919878729004,1.47313136755697,0.338142936654747,4.35653449434928,1.32137877167792e-05,0.00193463876295127,"protein_coding"
"FCGR3B",700.985322965947,1.74008699992159,0.399440370450661,4.35631230253059,1.32272016318606e-05,0.00193463876295127,"protein_coding"
"ASPM",42.8359563509079,1.33410257659772,0.306416006019411,4.35389323791789,1.33740858226187e-05,0.00193731348959375,"protein_coding"
"P2RY13",266.484773604925,1.0195600213615,0.234653069115327,4.34496776541376,1.3929611650155e-05,0.00197663812453303,"protein_coding"
"UCP2",1290.60876614629,1.03965349450711,0.239372381173322,4.34324749334523,1.40391821656179e-05,0.00197663812453303,"protein_coding"
"B3GNTL1",99.7424442671383,0.442345494007648,0.101777765629709,4.34618987035934,1.38522673083131e-05,0.00197663812453303,"protein_coding"
"CCR4",49.5131418797185,1.55451355910934,0.359270595310198,4.32685997518711,1.51250044075642e-05,0.00210564508395577,"protein_coding"
"FGD3",449.727016975164,0.659782680759177,0.152612679426221,4.32324943929802,1.53747732648612e-05,0.00210564508395577,"protein_coding"
"ASF1B",89.2736050242913,1.64208206224121,0.379799577877575,4.32354893972662,1.53539058349682e-05,0.00210564508395577,"protein_coding"
"EZH2",117.704958256549,0.850429700138812,0.197491540985166,4.3061575999485,1.6611472883775e-05,0.00225452107201866,"protein_coding"
"AIM2",41.7390160345251,1.0049982967378,0.233538050200356,4.30335997014447,1.68227188949015e-05,0.00226280589421152,"protein_coding"
"S100A3",114.471065441538,1.62611971687937,0.37954632517118,4.28437745022553,1.83251582333358e-05,0.00244308414854163,"protein_coding"
"PGLYRP1",20.6315462088101,1.8424744087797,0.430536942615172,4.27948040321028,1.87330130351871e-05,0.0024755512401324,"protein_coding"
"TRIM63",8.45859826516627,-1.34723974605394,0.3152423082022,-4.27366413390746,1.92286617470829e-05,0.0024758956343573,"protein_coding"
"DAPP1",197.910507399238,0.887121213337935,0.207506091958131,4.27515744220623,1.91002269948191e-05,0.0024758956343573,"protein_coding"
"HELLS",73.7050571323529,1.19458578053842,0.279356149917404,4.27621078287203,1.90101243616412e-05,0.0024758956343573,"protein_coding"
"ITGB4",477.112057559125,-0.897824841854116,0.21018767174763,-4.27153902219406,1.9412854854085e-05,0.00247842930827789,"protein_coding"
"KIF11",76.2597332359064,1.1054198489209,0.259235480164088,4.26415337985838,2.00661575857909e-05,0.00254030810109194,"protein_coding"
